"","state","year","e85","total","ratio_e85"
"535","Indiana","2017",204,833,24.4897959183673
"536","Iowa","2017",247,556,44.4244604316547
"537","Kansas","2017",20,827,2.41837968561064
"538","Kentucky","2017",73,321,22.7414330218069
"539","Louisiana","2017",12,315,3.80952380952381
"540","Maine","2017",0,240,0
"541","Maryland","2017",36,1442,2.49653259361997
"542","Massachusetts","2017",7,1574,0.444726810673443
"543","Michigan","2017",254,1601,15.8650843222986
"544","Minnesota","2017",372,1212,30.6930693069307
"545","Mississippi","2017",5,225,2.22222222222222
"546","Missouri","2017",94,1759,5.3439454235361
"547","Montana","2017",2,142,1.40845070422535
"548","Nebraska","2017",95,295,32.2033898305085
"549","Nevada","2017",19,675,2.81481481481481
"550","New Hampshire","2017",0,232,0
"551","New Jersey","2017",4,629,0.635930047694754
"552","New Mexico","2017",11,257,4.28015564202335
"553","New York","2017",72,2228,3.23159784560144
"554","North Carolina","2017",79,1704,4.63615023474178
"555","North Dakota","2017",41,83,49.3975903614458
"556","Ohio","2017",164,1113,14.7349505840072
"557","Oklahoma","2017",32,431,7.4245939675174
"558","Oregon","2017",10,1518,0.658761528326746
"559","Pennsylvania","2017",75,1044,7.18390804597701
"560","Rhode Island","2017",0,232,0
"561","South Carolina","2017",64,642,9.96884735202492
"562","South Dakota","2017",77,152,50.6578947368421
"563","Tennessee","2017",81,1271,6.37293469708891
"564","Texas","2017",215,3573,6.01735236495942
"565","Utah","2017",1,521,0.191938579654511
"566","Vermont","2017",0,442,0
"567","Virginia","2017",31,1261,2.45836637589215
"568","Washington","2017",19,2320,0.818965517241379
"569","West Virginia","2017",33,247,13.3603238866397
"570","Wisconsin","2017",157,790,19.873417721519
"571","Wyoming","2017",12,149,8.05369127516778
"572","Total","2017",3379,62592,5.39845347648262
"573","Alabama","2018",40,558,7.16845878136201
"574","Alaska","2018",0,18,0
"575","Arizona","2018",22,1447,1.52038700760194
"576","Arkansas","2018",43,224,19.1964285714286
"577","California","2018",161,22010,0.731485688323489
"578","Colorado","2018",81,1986,4.0785498489426
"579","Connecticut","2018",4,889,0.449943757030371
"580","Delaware","2018",1,145,0.689655172413793
"581","District of Columbia","2018",3,346,0.867052023121387
"582","Florida","2018",88,3330,2.64264264264264
"583","Georgia","2018",54,2406,2.24438902743142
"584","Hawaii","2018",2,554,0.36101083032491
"585","Idaho","2018",6,223,2.69058295964126
"586","Illinois","2018",280,1853,15.1106314085267
"587","Indiana","2018",211,801,26.3420724094881
"588","Iowa","2018",267,616,43.3441558441558
"589","Kansas","2018",26,872,2.98165137614679
"590","Kentucky","2018",74,342,21.6374269005848
"591","Louisiana","2018",12,320,3.75
"592","Maine","2018",1,282,0.354609929078014
"593","Maryland","2018",35,1850,1.89189189189189
"594","Massachusetts","2018",7,1860,0.376344086021505
"595","Michigan","2018",253,1774,14.2615558060879
"596","Minnesota","2018",412,1292,31.8885448916409
"597","Mississippi","2018",5,223,2.24215246636771
"598","Missouri","2018",98,1872,5.23504273504274
"599","Montana","2018",2,151,1.32450331125828
"600","Nebraska","2018",88,330,26.6666666666667
"601","Nevada","2018",14,712,1.96629213483146
"602","New Hampshire","2018",0,265,0
"603","New Jersey","2018",6,801,0.749063670411985
"604","New Mexico","2018",12,273,4.3956043956044
"605","New York","2018",72,2807,2.5650160313502
"606","North Carolina","2018",86,1818,4.73047304730473
"607","North Dakota","2018",44,100,44
"608","Ohio","2018",165,1291,12.7807900852053
"609","Oklahoma","2018",52,481,10.8108108108108
"610","Oregon","2018",10,1698,0.588928150765607
"611","Pennsylvania","2018",123,1297,9.4834232845027
